date,event,type
2007.01.06,馬囧到場祝賀黃海岱大師107歲壽誕，同月21日大師過世 【首殺】 ,死亡
2007.09.24,馬英九參加泳渡日月潭活動，兩死兩傷 ,死亡
2007.12.26,馬囧看戲，明華園橋段喊當選，兩年後車禍2死7傷 ,死亡
2008.04.16,馬囧探視柏楊，柏楊12日後呼吸衰竭過世 ,死亡
2008.07.03,馬囧參與國軍軍事校院三軍聯合畢業，並領讀軍人讀訓，兩周後陸軍直升機 失事，兩飛官殉職  ,死亡
2008.10.17,馬囧探視王永慶，半年後王心肺衰竭病逝 ,死亡
2008.10.21,馬囧參與國軍軍事校院三軍聯合畢業，並領讀軍人讀訓，10月直升機墜海造成1死2傷2失蹤 ,死亡
2009.02.03,前年2月馬囧至佛鼓山敲鐘(拉斷繩)一年後聖嚴法師圓寂 ,死亡
2009.04.19,馬囧參與國道馬拉松，54歲參賽者猝死 ,死亡
2009.04.13,馬囧為仁愛松韻茶命名，隔日松韻茶催生者沙布˙伊波谷腦溢血過世 ,死亡
2009.04.24,馬囧接見海基會代表團，表達對大陸人問後，當日台北市起重機吊臂砸落陸 團遊覽車造成3死3傷 ,死亡
2009.05.10,廖風德爬山身體不適送醫，急救期間馬囧前往探視，六小時候急救無效過世 ,死亡
2009.06.01,馬囧與宏都拉斯總統握手，該國第一起新流感死亡病例 ,死亡
2009.07.02,尼加拉瓜首都市長於馬囧出訪前夕舉槍自戕 ,死亡
2009.08.05,文英參與2008.03.18馬囧造勢晚會，隔年八月過世 ,死亡
2009.08.10,88風災救援直升機失事，兩機組員殉職，出任務前接見馬囧 ,死亡
2009.08.31,總統維安人員，結束馬囧維安任務後舉槍自戕 ,死亡
2011.04.27,馬囧競選連任定案，阿里山小火車翻覆5死107人輕重傷 ,死亡
2008.10.11,海角7號國寶茂伯與馬囧握手，3年後過世 ,死亡
2008.01.11,一香港記者採訪馬囧，摔下車疑似脊椎斷裂 ,傷病
2008.03.16,許安進幫馬囧找來19匹真馬造勢，豈料甫下車即摔個狗吃屎 ,傷病
2008.11.01,郭美珠參與2008.03.18馬囧造勢晚會，同年11月罹患乳癌 ,傷病
2008.12.11,連戰籲馬派遣600名國軍參與大陸09年國慶閱兵，同月18日陸航直升機迫降 造成1人骨折4人輕傷 ,傷病
2009.03.12,陳松勇參與2008.03.18馬囧造勢晚會，隔年3月傳出視網膜出血，幾乎失明 ,傷病
2009.03.19,陳麗麗參與2008.03.18馬囧造勢晚會，隔年中風失語，昏倒送醫 ,傷病
2009.03.28,馬囧職棒開球，兄弟隊陳冠任左手掌意外骨折送醫 ,傷病
2009.03.31,馬囧參加新竹寶山淨水場試車通水，招待女職員於馬囧離開後突然倒地 ,傷病
2009.06.12,出訪美國並與希拉蕊握手，18日希拉蕊摔倒造成手骨折 ,傷病
2011.08.20,訪視伽實企業，同年10月發生氣爆，8人送醫 ,傷病
2011.11.01,馬囧替2011MLB全明星台灣棒球大賽開球，4日羅國輝衝本壘左踝骨折 ,傷病
2011.12.25,拜訪佛光山與星雲握手，兩天後星雲中風入院 ,傷病
2012.11.01,高凌風參與2008.03.18馬囧造勢晚會空窗四年的詛咒終於爆發，罹患血癌 ,傷病
